eng_name,chn_name,jpn_name,cost,mana,color,type,chn_type,pt,p,t,loyalty,rule,chn_rule,back_name,created,update
Quicksand,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{T}, Sacrifice this land: Target attacking creature without flying gets -1/-2 until end of turn.",,,,
Aura Thief,,,3U,4.0,U,Creature — Illusion,,2/2,2,2,,"Flying
When this creature dies, you gain control of all enchantments. (You don't get to move Auras.)",,,,
Sabertooth Nishoba,,,4GW,6.0,Z,Creature — Cat Beast Warrior,,5/5,5,5,,"Trample, protection from blue and from red",,,,
Pendrell Drake,,,3U,4.0,U,Creature — Drake,,2/3,2,3,,"Flying
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Phyrexian Tower,,,,0.0,L,Legendary Land,,,,,,"{T}: Add {C}.
{T}, Sacrifice a creature: Add {B}{B}.",,,,
Azure Drake,,,3U,4.0,U,Creature — Drake,,2/4,2,4,,Flying,,,,
Goblin Cadets,,,R,1.0,R,Creature — Goblin,,2/1,2,1,,"Whenever this creature blocks or becomes blocked, target opponent gains control of it. (This removes this creature from combat.)",,,,
Krosan Tusker,,,5GG,7.0,G,Creature — Boar Beast,,6/5,6,5,,"Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)
When you cycle this card, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle. (Do this before you draw.)",,,,
Wall of Blossoms,,,1G,2.0,G,Creature — Plant Wall,,0/4,0,4,,"Defender
When this creature enters, draw a card.",,,,
Wormfang Behemoth,,,3UU,5.0,U,Creature — Nightmare Fish Beast,,5/5,5,5,,"When this creature enters, exile all cards from your hand.
When this creature leaves the battlefield, return the exiled cards to their owner's hand.",,,,
Joven's Tools,,,6,6.0,N,Artifact,,,,,,"{4}, {T}: Target creature can't be blocked this turn except by Walls.",,,,
Starlit Sanctum,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{W}, {T}, Sacrifice a Cleric creature: You gain life equal to the sacrificed creature's toughness.
{B}, {T}, Sacrifice a Cleric creature: Target player loses life equal to the sacrificed creature's power.",,,,
Pride of Lions,,,3GG,5.0,G,Creature — Cat,,4/4,4,4,,You may have this creature assign its combat damage as though it weren't blocked.,,,,
Serum Tank,,,3,3.0,N,Artifact,,,,,,"Whenever this artifact or another artifact enters, put a charge counter on this artifact.
{3}, {T}, Remove a charge counter from this artifact: Draw a card.",,,,
Aphetto Dredging,,,3B,4.0,B,Sorcery,,,,,,Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.,,,,
Pretender's Claim,,,1B,2.0,B,Enchantment — Aura,,,,,,"Enchant creature
Whenever enchanted creature becomes blocked, tap all lands defending player controls.",,,,
Goblin Welder,,,R,1.0,R,Creature — Goblin Artificer,,1/1,1,1,,"{T}: Choose target artifact a player controls and target artifact card in that player's graveyard. If both targets are still legal as this ability resolves, that player simultaneously sacrifices the artifact and returns the artifact card to the battlefield.",,,,
Magistrate's Scepter,,,3,3.0,N,Artifact,,,,,,"{4}, {T}: Put a charge counter on this artifact.
{T}, Remove three charge counters from this artifact: Take an extra turn after this one.",,,,
Planar Overlay,,,2U,3.0,U,Sorcery,,,,,,Each player chooses a land they control of each basic land type. Return those lands to their owners' hands.,,,,
Volcano Imp,,,3B,4.0,B,Creature — Imp,,2/2,2,2,,"Flying
{1}{R}: This creature gains first strike until end of turn.",,,,
Tainted Wood,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{T}: Add {B} or {G}. Activate only if you control a Swamp.",,,,
Fierce Empath,,,2G,3.0,G,Creature — Elf,,1/1,1,1,,"When this creature enters, you may search your library for a creature card with mana value 6 or greater, reveal it, put it into your hand, then shuffle.",,,,
Vengeful Dreams,,,WW,2.0,W,Instant,,,,,,"As an additional cost to cast this spell, discard X cards.
Exile X target attacking creatures.",,,,
Silver Drake,,,1WU,3.0,Z,Creature — Drake,,3/3,3,3,,"Flying
When this creature enters, return a white or blue creature you control to its owner's hand.",,,,
Alabaster Leech,,,W,1.0,W,Creature — Leech,,1/3,1,3,,White spells you cast cost {W} more to cast.,,,,
Foul Presence,,,2B,3.0,B,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets -1/-1 and has ""{T}: Target creature gets -1/-1 until end of turn.""",,,,
Magma Burst,,,3R,4.0,R,Instant,,,,,,"Kicker—Sacrifice two lands. (You may sacrifice two lands in addition to any other costs as you cast this spell.)
Magma Burst deals 3 damage to any target. If this spell was kicked, it deals 3 damage to another target.",,,,
Living Hive,,,6GG,8.0,G,Creature — Elemental Insect,,6/6,6,6,,"Trample
Whenever this creature deals combat damage to a player, create that many 1/1 green Insect creature tokens.",,,,
Steel Wall,,,1,1.0,N,Artifact Creature — Wall,,0/4,0,4,,Defender (This creature can't attack.),,,,
Shared Triumph,,,1W,2.0,W,Enchantment,,,,,,"As this enchantment enters, choose a creature type.
Creatures of the chosen type get +1/+1.",,,,
Wizard Mentor,,,2U,3.0,U,Creature — Human Wizard,,2/2,2,2,,{T}: Return this creature and target creature you control to their owner's hand.,,,,
Chameleon Spirit,,,3U,4.0,U,Creature — Illusion Spirit,,*/*,*,*,,"As this creature enters, choose a color.
Chameleon Spirit's power and toughness are each equal to the number of permanents of the chosen color your opponents control.",,,,
Fog Patch,,,1G,2.0,G,Instant,,,,,,"Cast this spell only during the declare blockers step.
Attacking creatures become blocked. (This spell works on creatures that can't be blocked.)",,,,
Peer Pressure,,,3U,4.0,U,Sorcery,,,,,,"Choose a creature type. If you control more creatures of that type than each other player, you gain control of all creatures of that type. (This effect lasts indefinitely.)",,,,
Manabond,,,G,1.0,G,Enchantment,,,,,,"At the beginning of your end step, you may reveal your hand and put all land cards from it onto the battlefield. If you do, discard your hand.",,,,
Coral Net,,,U,1.0,U,Enchantment — Aura,,,,,,"Enchant green or white creature
Enchanted creature has ""At the beginning of your upkeep, sacrifice this creature unless you discard a card.""",,,,
Cave-In,,,3RR,5.0,R,Sorcery,,,,,,"You may exile a red card from your hand rather than pay this spell's mana cost.
Cave-In deals 2 damage to each creature and each player.",,,,
Proteus Staff,,,3,3.0,N,Artifact,,,,,,"{2}{U}, {T}: Put target creature on the bottom of its owner's library. That creature's controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield and the rest on the bottom of their library in any order. Activate only as a sorcery.",,,,
Coalition Victory,,,3WUBRG,8.0,Z,Sorcery,,,,,,You win the game if you control a land of each basic land type and a creature of each color.,,,,
Misshapen Fiend,,,1B,2.0,B,Creature — Horror Mercenary,,1/1,1,1,,Flying,,,,
Skyshroud Elf,,,1G,2.0,G,Creature — Elf Druid,,1/1,1,1,,"{T}: Add {G}.
{1}: Add {R} or {W}.",,,,
Urza's Blueprints,,,6,6.0,N,Artifact,,,,,,"Echo {6} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
{T}: Draw a card.",,,,
Delraich,,,6B,7.0,B,Creature — Horror,,6/6,6,6,,"You may sacrifice three black creatures rather than pay this spell's mana cost.
Trample",,,,
Wall of Tears,,,1U,2.0,U,Creature — Wall,,0/4,0,4,,"Defender (This creature can't attack.)
Whenever this creature blocks a creature, return that creature to its owner's hand at end of combat.",,,,
Upheaval,,,4UU,6.0,U,Sorcery,,,,,,Return all permanents to their owners' hands.,,,,
Clear,,,1W,2.0,W,Instant,,,,,,"Destroy target enchantment.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Betrayal,,,U,1.0,U,Enchantment — Aura,,,,,,"Enchant creature an opponent controls
Whenever enchanted creature becomes tapped, you draw a card.",,,,
Scoria Cat,,,3RR,5.0,R,Creature — Cat,,3/3,3,3,,This creature gets +3/+3 as long as you control no untapped lands.,,,,
Skycloud Expanse,,,,0.0,L,Land,,,,,,"{1}, {T}: Add {W}{U}.",,,,
Cinder Crawler,,,1R,2.0,R,Creature — Salamander,,1/2,1,2,,{R}: This creature gets +1/+0 until end of turn. Activate only if this creature is blocked.,,,,
Rhystic Shield,,,1W,2.0,W,Instant,,,,,,Creatures you control get +0/+1 until end of turn. They get an additional +0/+2 until end of turn unless any player pays {2}.,,,,
Shivan Zombie,,,BR,2.0,Z,Creature — Phyrexian Barbarian Zombie,,2/2,2,2,,Protection from white,,,,
Wave of Indifference,,,XR,1.0,R,Sorcery,,,,,,X target creatures can't block this turn.,,,,
Nameless One,,,3U,4.0,U,Creature — Wizard Avatar,,*/*,*,*,,"Nameless One's power and toughness are each equal to the number of Wizards on the battlefield.
Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Eye of Singularity,,,3W,4.0,W,World Enchantment,,,,,,"When this enchantment enters, destroy each permanent with the same name as another permanent, except for basic lands. They can't be regenerated.
Whenever a permanent other than a basic land enters, destroy all other permanents with that name. They can't be regenerated.",,,,
Polymorph,,,3U,4.0,U,Sorcery,,,,,,"Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield, then shuffles all other cards revealed this way into their library.",,,,
Sootfeather Flock,,,4B,5.0,B,Creature — Bird,,3/2,3,2,,"Flying
Morph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Gush,,,4U,5.0,U,Instant,,,,,,"You may return two Islands you control to their owner's hand rather than pay this spell's mana cost.
Draw two cards.",,,,
Hermit Druid,,,1G,2.0,G,Creature — Human Druid,,1/1,1,1,,"{G}, {T}: Reveal cards from the top of your library until you reveal a basic land card. Put that card into your hand and all other cards revealed this way into your graveyard.",,,,
Alley Grifters,,,1BB,3.0,B,Creature — Human Mercenary,,2/2,2,2,,"Whenever this creature becomes blocked, defending player discards a card.",,,,
Red Cliffs Armada,,,4U,5.0,U,Creature — Human Soldier,,5/4,5,4,,This creature can't attack unless defending player controls an Island.,,,,
Lava Flow,,,3RR,5.0,R,Sorcery,,,,,,Destroy target creature or land.,,,,
Gaea's Embrace,,,2GG,4.0,G,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +3/+3 and has trample.
{G}: Regenerate enchanted creature.",,,,
Rune of Protection: White,,,1W,2.0,W,Enchantment,,,,,,"{W}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Whispers of the Muse,,,U,1.0,U,Instant,,,,,,"Buyback {5} (You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)
Draw a card.",,,,
