name,printed_name,mana_cost,cmc,type_line,printed_type_line,oracle_text,printed_text,power,toughness,loyalty,colors
Quicksand,Quicksand,,0.0,Land,Land,"{T}: Add {C}.
{T}, Sacrifice this land: Target attacking creature without flying gets -1/-2 until end of turn.","{T}: Add {C}.
{T}, Sacrifice this land: Target attacking creature without flying gets -1/-2 until end of turn.",,,,L
Aura Thief,Aura Thief,3U,4.0,Creature — Illusion,Creature — Illusion,"Flying
When this creature dies, you gain control of all enchantments. (You don't get to move Auras.)","Flying
When this creature dies, you gain control of all enchantments. (You don't get to move Auras.)",2,2,,U
Sabertooth Nishoba,Sabertooth Nishoba,4GW,6.0,Creature — Cat Beast Warrior,Creature — Cat Beast Warrior,"Trample, protection from blue and from red","Trample, protection from blue and from red",5,5,,Z
Pendrell Drake,Pendrell Drake,3U,4.0,Creature — Drake,Creature — Drake,"Flying
Cycling {2} ({2}, Discard this card: Draw a card.)","Flying
Cycling {2} ({2}, Discard this card: Draw a card.)",2,3,,U
Phyrexian Tower,Phyrexian Tower,,0.0,Legendary Land,Legendary Land,"{T}: Add {C}.
{T}, Sacrifice a creature: Add {B}{B}.","{T}: Add {C}.
{T}, Sacrifice a creature: Add {B}{B}.",,,,L
Azure Drake,Azure Drake,3U,4.0,Creature — Drake,Creature — Drake,Flying,Flying,2,4,,U
Goblin Cadets,Goblin Cadets,R,1.0,Creature — Goblin,Creature — Goblin,"Whenever this creature blocks or becomes blocked, target opponent gains control of it. (This removes this creature from combat.)","Whenever this creature blocks or becomes blocked, target opponent gains control of it. (This removes this creature from combat.)",2,1,,R
Krosan Tusker,Krosan Tusker,5GG,7.0,Creature — Boar Beast,Creature — Boar Beast,"Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)
When you cycle this card, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle. (Do this before you draw.)","Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)
When you cycle this card, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle. (Do this before you draw.)",6,5,,G
Wall of Blossoms,Wall of Blossoms,1G,2.0,Creature — Plant Wall,Creature — Plant Wall,"Defender
When this creature enters, draw a card.","Defender
When this creature enters, draw a card.",0,4,,G
Wormfang Behemoth,Wormfang Behemoth,3UU,5.0,Creature — Nightmare Fish Beast,Creature — Nightmare Fish Beast,"When this creature enters, exile all cards from your hand.
When this creature leaves the battlefield, return the exiled cards to their owner's hand.","When this creature enters, exile all cards from your hand.
When this creature leaves the battlefield, return the exiled cards to their owner's hand.",5,5,,U
Joven's Tools,Joven's Tools,6,6.0,Artifact,Artifact,"{4}, {T}: Target creature can't be blocked this turn except by Walls.","{4}, {T}: Target creature can't be blocked this turn except by Walls.",,,,N
Starlit Sanctum,Starlit Sanctum,,0.0,Land,Land,"{T}: Add {C}.
{W}, {T}, Sacrifice a Cleric creature: You gain life equal to the sacrificed creature's toughness.
{B}, {T}, Sacrifice a Cleric creature: Target player loses life equal to the sacrificed creature's power.","{T}: Add {C}.
{W}, {T}, Sacrifice a Cleric creature: You gain life equal to the sacrificed creature's toughness.
{B}, {T}, Sacrifice a Cleric creature: Target player loses life equal to the sacrificed creature's power.",,,,L
Pride of Lions,Pride of Lions,3GG,5.0,Creature — Cat,Creature — Cat,You may have this creature assign its combat damage as though it weren't blocked.,You may have this creature assign its combat damage as though it weren't blocked.,4,4,,G
Serum Tank,Serum Tank,3,3.0,Artifact,Artifact,"Whenever this artifact or another artifact enters, put a charge counter on this artifact.
{3}, {T}, Remove a charge counter from this artifact: Draw a card.","Whenever this artifact or another artifact enters, put a charge counter on this artifact.
{3}, {T}, Remove a charge counter from this artifact: Draw a card.",,,,N
Aphetto Dredging,Aphetto Dredging,3B,4.0,Sorcery,Sorcery,Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.,Return up to three target creature cards of the creature type of your choice from your graveyard to your hand.,,,,B
Pretender's Claim,Pretender's Claim,1B,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Whenever enchanted creature becomes blocked, tap all lands defending player controls.","Enchant creature
Whenever enchanted creature becomes blocked, tap all lands defending player controls.",,,,B
